"","CTR-DS1","CTR-DS2","CTR-DS3","DR-DS1","DR-DS2","DR-DS3"
"MLOC_74996.1",8.75101566736139,8.55922275616928,8.43274227803804,8.78086197719509,8.92310675892294,8.76576311703631
"MLOC_69619.1",8.01366262475938,7.82812211479087,7.93903028157574,7.82125909637673,7.613259772988,7.6163165212607
"MLOC_60124.1",8.4423853474152,8.62386576134231,8.4993562016698,8.70440108409258,8.66149922547386,8.6963577863683
"MLOC_64351.2",9.65486851019175,9.56886796593995,9.60304045400657,9.4362838103166,9.46976682084712,9.47060502791772
"MLOC_48766.1",8.15836836117321,8.39936440315904,8.43165882125657,8.01941886293453,7.99586177208605,8.12767487498864
"MLOC_12784.1",8.51538895322327,8.55033580814421,8.56515817663798,8.45442266225257,8.31974598439899,8.24308332591277
"MLOC_81818.1",7.60252412161135,7.53036368138407,7.64837036509433,7.72059018513402,7.71260549273557,7.78871676235755
"MLOC_62437.1",7.87275730687963,7.81829929431836,7.91598134137977,7.70664885761153,7.61194847408434,7.7427611546297
"MLOC_74063.2",9.00455450388701,8.88512559241766,8.91568837598866,8.76831022709896,8.76061167030142,8.80666380861232
"MLOC_59994.2",10.6174474232589,10.8025805272419,10.7024395609609,11.0718115522648,10.8196931058702,10.9023353145118
"MLOC_74368.1",7.74283123489613,8.00866455442183,7.86087481014328,8.10127723584244,8.11301282382524,8.03488890223395
"MLOC_13881.1",8.63706106572024,8.71242896372716,8.5833966066574,8.14783615303351,8.53685116424484,8.30205795163099
"MLOC_52966.1",9.13101786784772,9.15845201447782,9.21333756089214,8.96702963724492,8.94469321106169,9.05643466581903
"MLOC_52626.1",8.09160972803816,8.19975555214529,7.82143342224605,8.31010948918203,8.25856110615314,8.28832650259565
"MLOC_37890.1",8.94719847737081,8.887188347533,8.91220721535954,8.74624664736425,8.81283806205841,8.66180859350733
"MLOC_51591.2",8.48690551383966,8.53756150123493,8.44281660087131,8.73119829137261,8.55584097303038,8.63452929461424
"MLOC_25403.1",7.64109795729744,7.86898728141662,7.50008544139523,8.09497347026629,7.88889403259284,7.87819499282021
"MLOC_57906.1",8.29564365094412,8.43877755495005,7.99385319189007,7.80855361745811,7.90805256715121,7.99296712084563
"MLOC_80839.1",8.48393705816331,8.48590236962456,8.5477627491237,8.23174944637162,8.33925500006372,8.37965233991441
"MLOC_55181.2",8.69072062193119,8.56947085118175,8.56618605600855,8.45506611883606,8.45123498008997,8.45960853332523
"MLOC_4487.1",8.82064518094178,8.85034938357113,8.8589051495215,8.64092109585331,8.66628142977017,8.74003238225667
"MLOC_5291.1",8.17048779953725,8.11729107791522,8.14415145385632,7.75679462769766,7.53371514004505,8.0506089865988
"MLOC_5174.1",9.38745345082299,9.37591836975084,9.32809380303073,9.20204526404776,9.22931771985395,9.24493585843831
"MLOC_2934.1",8.54116554659341,8.62659608724793,8.61204363830771,8.40014120801904,8.48254303051582,8.35317985819186
"MLOC_58156.1",8.02509157658377,8.12970645426372,8.21624451626409,8.30983891800711,8.26345650704786,8.32186373597954
"MLOC_65396.1",8.76814773225312,8.67950614612373,8.67647939657806,8.45471793710289,8.55664189174717,8.5943022950009
"MLOC_14295.1",9.74828541743356,9.60391804922674,9.64288083792515,9.44164572803736,9.52192904595265,9.52220227977086
"MLOC_65295.2",8.28693810436528,8.15793234380707,8.05712177250206,7.94948943667105,7.9943772701045,8.00012835973061
