"","2218DP100","2218DP234","2218DP286","2218DP103","2218DP093","2226DP070","2226DP052","2226DP025","2226DP103","2226DP088","2226DP215","2218DP148","2226DP092","2226DP059","2218DP112","2226DP005","2226DP137","2226DP069","2226DP360","2226DP082","2226DP046","2226DP183","2226DP033","2226DP212","2226DP176","2226DP072","2218DP084","2218DP263","2226DP185","2226DP172","2226DP051","2226DP170","2226DP307","2218DP114","2218DP088","2218DP026","2218DP002","2218DP190","2218DP198","2218DP109","2218DP281","2218DP282","2218DP217","2218DP202","2218DP102","2218DP312","2218DP086","2218DP073","2218DP152"
"Solyc07g065700.4.1",15.1706,22.2868,23.1895,33.6744,34.0622,11.4461,15.391,13.639,15.4245,16.9839,12.3881,22.1467,21.3139,18.6186,25.0265,21.836,13.6755,15.5772,12.4207,17.0199,16.0551,20.3813,17.4751,19.2468,30.1741,39.8147,18.4581,30.2266,44.4528,44.7022,47.1068,34.7859,42.2508,35.1696,30.496,15.2999,46.3322,48.3137,47.1243,34.0491,27.2729,31.286,35.5257,51.661,28.5954,25.2438,19.3566,25.5238,27.8427
"Solyc07g065740.3.1",17.5891,20.5286,29.2356,29.2296,21.1225,16.0112,15.122,13.7694,21.0472,18.5563,16.8901,20.8279,20.9139,16.3868,25.3675,26.6052,18.2669,17.9054,16.2285,18,20.5158,21.5279,19.1038,21.9154,39.1634,37.8621,15.3902,29.0943,57.2628,53.5535,45.2746,42.2655,43.4098,42.7275,23.2131,9.75898,47.6117,32.4441,37.7305,21.8737,22.8639,38.131,34.2066,39.6989,36.4137,39.2707,12.0693,27.8977,23.7228
"Solyc07g065800.3.1",46.2951,58.9901,58.2834,55.6419,46.7201,38.4562,50.867,36.553,42.1571,46.7024,51.0417,58.8716,43.1906,38.2029,57.1431,44.7312,44.8536,42.0737,45.2934,44.6093,37.8001,41.8761,34.6893,40.3362,53.8342,60.2808,31.1592,52.0707,71.3004,81.5785,64.046,77.2487,68.4392,70.3177,60.4069,32.5103,66.3467,92.1325,102.493,57.5599,74.3748,57.367,83.7208,87.4976,56.3833,76.2317,52.7386,64.5196,49.8377
"Solyc07g065820.3.1",30.8799,30.2877,31.282,36.1303,38.0067,35.6693,27.0331,26.767,28.8543,37.1806,28.751,31.3657,35.8395,26.5174,34.5839,34.211,21.979,34.4427,28.6214,29.9148,31.8027,37.7513,32.674,28.2346,49.7731,51.3559,36.1186,41.4204,61.4154,53.621,56.6588,56.6989,61.0379,36.2422,36.6479,35.3378,37.649,31.5261,28.9528,35.7203,43.6062,46.9633,43.5453,39.7129,32.3761,46.0452,30.7608,30.865,35.1593
"Solyc07g065840.2.1",268.913,435.297,485.917,437.387,433.716,286.483,284.572,242.325,284.287,286.673,185.552,518.213,314.373,281.669,535.598,235.239,340.829,316.886,307.346,321.547,286.423,320.159,312.038,302.86,349.078,353.128,284.297,517.685,474.571,473.721,409.917,570.983,463.682,692.687,561.49,245.712,636.598,837.914,980.853,1166.38,1560.99,843.809,1576.47,1432.66,970.525,687.724,465.061,531.262,464.863
"Solyc07g065900.3.1",216.751,226.191,106.709,234.959,242.066,283.335,245.227,226.531,217.632,234.326,191.735,129.125,213.491,228.74,75.0208,166.742,178.609,213.796,200.825,216.114,228.017,171.684,158.849,152.379,77.0613,77.2767,223.454,116.657,17.7385,17.1446,38.6639,35.6781,20.0587,24.5254,32.0168,168.558,7.64205,6.75978,10.6115,17.7159,24.7228,27.4527,18.6104,21.5055,29.1122,13.7158,87.2538,70.0392,218.158
"Solyc07g065980.3.1",8.78656,8.25939,12.5062,14.1042,14.2949,7.72622,8.75327,8.54755,10.7232,10.3812,6.07484,24.0159,13.4899,13.4606,33.3575,16.8374,9.64684,11.8105,9.47464,9.63402,9.78843,10.1206,10.07,9.74503,18.0978,23.0973,8.77202,38.8346,46.677,46.294,36.9471,21.6511,37.1762,41.4644,32.3139,13.5245,78.0227,43.6623,51.1264,21.6346,21.0858,40.4073,19.7325,21.6637,20.2821,23.5626,10.4082,14.0702,12.5976
"Solyc07g066010.3.1",19.4053,38.0072,69.9345,48.7073,47.1143,15.8853,15.3361,22.0144,15.3408,20.494,15.3318,41.352,26.7201,27.74,36.4024,31.207,36.1007,23.2033,31.5864,28.799,29.7384,33.6433,35.831,35.9163,61.0452,70.8721,18.005,40.8318,95.2987,112.204,85.59,98.4724,122.626,47.1113,46.3751,26.0266,57.9775,43.7867,45.5538,50.7808,73.2506,50.9742,63.0633,43.7518,57.3074,41.7264,48.0434,48.9583,58.2577
"Solyc07g066020.2.1",7.00771,11.654,20.3705,32.8968,37.6745,5.7631,6.10559,9.43636,8.42849,9.84603,4.98263,27.6821,13.9092,9.25974,28.9068,12.8395,8.42208,7.83583,6.75437,12.8847,10.1904,23.4483,17.9112,16.3575,40.0545,50.2624,5.2961,29.4835,61.0346,58.5593,57.032,36.8856,62.2337,26.9658,29.6007,4.36257,35.5594,38.0493,29.0288,18.3788,16.4538,26.2862,19.311,19.7305,23.0434,19.7379,8.88212,11.0836,27.7039
"Solyc07g066070.3.1",22.8839,21.6997,25.0592,30.1629,31.9248,17.842,24.0772,16.9226,21.5867,24.0178,10.6513,22.5784,24.4637,22.1186,38.7168,22.4893,19.8306,17.04,16.6304,22.9361,20.8903,24.6358,24.8815,21.9188,36.3089,43.0966,25.5423,32.789,54.6197,56.7383,60.5315,45.3691,54.7761,54.6837,40.4901,23.2548,57.5882,71.375,55.2827,30.6125,35.8381,38.0228,40.5453,59.2308,30.8598,42.776,16.4049,26.4876,26.4161
"Solyc07g066080.3.1",13.7216,15.5699,23.2824,29.9174,25.079,11.4758,12.5901,10.8285,14.4406,15.005,12.016,30.5597,21.5143,14.5366,21.9079,22.1465,9.16166,16.1131,9.26215,8.7631,8.99348,14.5143,15.3615,11.9436,30.6264,39.3259,12.1317,24.2392,78.9393,84.0306,56.8947,45.5945,71.9062,49.2726,29.8926,8.92064,86.2416,86.3143,79.7721,40.7823,46.27,42.944,42.3122,70.6597,41.0186,57.6101,16.3572,43.3424,21.1047
